-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2024 through 12/10/2025 in LST
Location: latitude  29.917   longitude 78.71 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1266.18 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (W m-2) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (W m-2) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (W m-2) 
CLRSKY_SFC_SW_DWN      CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (W m-2) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M                   MERRA-2 Wind Speed at 2 Meters (m/s) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
PS                     MERRA-2 Surface Pressure (kPa) 
ALLSKY_KT              CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,CLRSKY_SFC_SW_DWN,T2M,RH2M,WS2M,PRECTOTCORR,PS,ALLSKY_KT
2024,1,1,110.33,131.03,54.21,160.74,10.77,55.6,1.23,0.0,87.7,0.47
2024,1,2,131.1,165.14,53.51,159.16,10.2,51.18,1.22,0.0,87.67,0.56
2024,1,3,120.19,118.25,58.01,137.32,10.42,46.03,1.34,0.0,87.68,0.51
2024,1,4,111.94,95.89,59.55,126.63,9.7,46.16,1.21,0.0,87.66,0.47
2024,1,5,93.42,82.64,53.81,146.33,9.4,50.84,1.38,0.0,87.68,0.39
2024,1,6,100.14,86.92,56.42,134.36,9.91,49.72,1.3,0.0,87.75,0.42
2024,1,7,89.0,79.28,50.44,143.41,10.02,56.09,1.14,0.0,87.84,0.37
2024,1,8,110.94,142.34,47.96,159.57,10.86,51.45,1.21,0.0,87.9,0.46
2024,1,9,91.06,99.21,45.73,148.45,9.88,54.22,1.24,0.0,87.86,0.38
2024,1,10,102.26,99.36,55.84,155.54,10.35,46.56,1.44,0.0,87.61,0.42
2024,1,11,94.05,112.64,46.11,168.48,9.57,44.76,1.3,0.0,87.68,0.39
2024,1,12,82.13,83.37,46.34,168.62,9.85,46.92,1.23,0.0,87.64,0.34
2024,1,13,108.93,33.97,87.07,166.69,10.45,45.79,0.7,0.0,87.66,0.45
2024,1,14,137.75,167.54,56.99,167.24,10.5,37.92,1.15,0.0,87.64,0.56
2024,1,15,107.39,113.17,53.76,160.89,9.39,44.05,1.36,0.0,87.61,0.43
2024,1,16,106.23,109.78,54.05,156.3,9.22,50.52,1.41,0.0,87.49,0.43
2024,1,17,116.59,128.13,55.71,164.92,9.1,57.45,1.44,0.0,87.46,0.47
2024,1,18,93.33,92.15,49.52,166.31,8.87,59.84,1.42,0.0,87.56,0.37
2024,1,19,81.35,86.28,44.48,173.11,8.69,62.34,1.33,0.0,87.68,0.32
2024,1,20,118.93,113.25,61.67,159.76,8.35,63.42,1.32,0.0,87.69,0.47
2024,1,21,103.97,112.09,52.02,170.46,8.44,55.6,1.4,0.0,87.57,0.41
2024,1,22,93.17,86.21,58.41,168.75,7.43,51.49,1.48,0.0,87.77,0.36
2024,1,23,119.08,125.36,60.59,174.93,8.32,48.17,1.4,0.0,87.63,0.46
2024,1,24,129.04,119.88,62.59,161.98,8.15,48.38,1.4,0.0,87.62,0.5
2024,1,25,132.53,117.26,68.81,162.77,8.74,45.88,1.35,0.0,87.82,0.51
2024,1,26,141.49,120.18,72.44,157.15,9.58,48.66,1.34,0.0,87.96,0.54
2024,1,27,132.32,147.59,59.46,175.02,10.34,51.26,1.82,0.0,87.75,0.5
2024,1,28,98.01,7.1,82.3,174.87,10.39,54.12,1.42,0.0,87.8,0.37
2024,1,29,155.86,151.86,68.86,168.49,10.74,51.94,1.46,0.0,87.74,0.58
2024,1,30,143.75,109.96,77.83,164.05,10.2,51.38,1.31,0.01,87.61,0.53
2024,1,31,110.42,29.23,81.5,140.76,9.01,65.14,1.37,2.99,87.61,0.4
