-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2013 through 12/31/2023 in LST
Location: latitude  29.917   longitude 78.71 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1266.18 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (W m-2) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (W m-2) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (W m-2) 
CLRSKY_SFC_SW_DWN      CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (W m-2) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
WS2M                   MERRA-2 Wind Speed at 2 Meters (m/s) 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
PS                     MERRA-2 Surface Pressure (kPa) 
ALLSKY_KT              CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,CLRSKY_SFC_SW_DWN,T2M,RH2M,WS2M,PRECTOTCORR,PS,ALLSKY_KT
2013,1,1,100.9,45.82,76.26,156.47,9.18,57.29,1.1,0.0,87.36,0.43
2013,1,2,141.61,195.48,50.47,153.62,7.91,58.39,1.28,0.0,87.42,0.6
2013,1,3,107.79,149.51,50.68,166.01,9.19,47.42,1.12,0.0,87.54,0.46
2013,1,4,113.0,145.34,53.76,164.51,8.83,44.76,1.29,0.0,87.53,0.48
2013,1,5,92.56,107.84,47.88,158.79,7.55,44.15,1.36,0.0,87.29,0.39
2013,1,6,96.22,109.6,51.97,157.09,6.47,47.8,1.27,0.0,87.47,0.4
2013,1,7,105.35,151.91,41.86,159.55,6.38,41.3,1.38,0.0,87.48,0.44
2013,1,8,114.49,147.57,49.59,160.56,6.43,39.61,1.51,0.0,87.43,0.48
2013,1,9,115.83,148.98,49.2,160.37,7.9,55.13,1.67,0.0,87.46,0.48
2013,1,10,136.77,197.79,49.8,169.61,7.99,60.12,1.57,0.0,87.28,0.57
2013,1,11,158.03,242.76,46.13,172.47,8.79,43.78,1.39,0.0,87.35,0.65
2013,1,12,150.99,181.56,58.15,156.64,11.23,45.72,1.46,0.02,87.61,0.62
2013,1,13,159.22,209.35,54.07,159.75,12.35,64.28,1.47,0.08,87.43,0.65
2013,1,14,136.57,113.19,75.48,153.37,12.15,55.95,1.37,0.0,87.46,0.55
2013,1,15,144.64,121.52,74.49,145.35,10.46,55.21,1.6,0.0,87.61,0.58
2013,1,16,144.5,121.46,74.11,150.26,11.11,63.47,1.61,0.01,87.77,0.58
2013,1,17,100.43,53.17,64.22,131.76,10.93,78.78,1.77,19.24,87.77,0.4
2013,1,18,35.44,0.76,30.24,124.05,8.18,93.26,2.89,59.09,87.44,0.14
2013,1,19,160.88,189.17,62.89,170.05,7.3,71.65,0.97,1.06,87.76,0.63
2013,1,20,156.71,234.26,50.7,184.58,8.44,64.59,1.17,0.04,87.68,0.61
2013,1,21,155.94,247.18,45.31,187.66,9.69,54.25,1.18,0.0,87.78,0.61
2013,1,22,141.04,208.45,51.37,185.05,9.08,58.79,1.44,0.0,87.86,0.55
2013,1,23,135.37,191.28,50.16,187.25,9.16,55.73,1.42,0.0,87.85,0.52
2013,1,24,166.89,272.97,40.0,186.97,8.74,54.78,1.35,0.0,87.74,0.64
2013,1,25,166.65,246.81,47.41,186.32,9.37,54.45,1.52,0.0,87.75,0.63
2013,1,26,180.03,276.06,42.42,189.18,9.81,50.38,1.29,0.0,87.68,0.68
2013,1,27,159.87,187.78,79.66,192.89,10.24,46.57,1.43,0.0,87.64,0.6
2013,1,28,128.53,55.56,91.98,168.13,10.2,50.89,0.97,0.0,87.64,0.48
2013,1,29,166.47,179.66,88.9,185.14,10.44,50.71,1.31,0.0,87.55,0.62
2013,1,30,151.74,113.37,90.25,190.61,10.62,53.02,1.18,0.0,87.7,0.56
2013,1,31,155.96,151.02,78.05,186.31,10.91,54.38,1.02,0.0,87.74,0.57
2013,2,1,183.9,241.15,57.67,189.53,12.24,54.73,1.33,0.0,87.72,0.67
2013,2,2,122.61,79.34,74.27,177.71,11.6,60.21,0.88,0.0,87.65,0.44
2013,2,3,163.52,149.39,82.55,186.98,11.16,70.41,1.15,0.16,87.57,0.58
2013,2,4,29.4,1.73,25.43,147.52,10.12,84.14,1.91,11.74,87.76,0.1
2013,2,5,17.65,0.51,15.11,119.74,7.54,89.78,2.44,62.34,87.77,0.06
2013,2,6,100.22,35.57,69.64,161.43,9.42,91.4,1.62,11.65,87.83,0.35
2013,2,7,202.27,278.84,51.35,205.0,9.41,76.97,1.16,0.28,87.59,0.7
2013,2,8,186.0,259.78,51.71,210.9,10.6,62.88,1.31,0.0,87.49,0.64
2013,2,9,208.07,308.71,46.05,215.01,11.68,54.2,1.37,0.0,87.59,0.71
2013,2,10,200.83,256.3,59.71,207.25,11.64,57.68,1.39,0.0,87.67,0.68
2013,2,11,205.82,277.85,50.8,207.17,12.69,52.75,1.36,0.0,87.63,0.69
2013,2,12,201.25,251.14,59.24,204.03,12.9,57.22,1.25,0.0,87.68,0.67
2013,2,13,203.01,233.11,66.2,213.22,12.97,55.91,1.43,0.0,87.56,0.67
2013,2,14,212.89,285.64,49.65,213.62,13.13,53.69,1.48,0.0,87.49,0.7
2013,2,15,106.54,22.99,81.06,187.41,10.36,71.19,1.67,5.18,87.32,0.35
2013,2,16,28.84,1.19,24.08,153.5,8.24,89.63,2.51,23.83,86.92,0.09
2013,2,17,150.3,138.34,72.7,203.83,8.17,87.39,1.53,6.0,87.1,0.49
2013,2,18,223.07,331.1,40.11,225.49,10.08,84.82,1.57,0.0,87.36,0.71
2013,2,19,137.52,36.37,105.25,212.12,11.45,69.52,1.33,0.0,87.46,0.44
2013,2,20,204.47,217.27,67.14,213.94,11.2,67.03,1.55,0.0,87.61,0.65
2013,2,21,123.03,80.09,79.33,218.76,11.86,65.95,1.21,4.45,87.64,0.39
2013,2,22,167.95,97.35,107.69,213.04,12.93,65.75,1.34,1.24,87.82,0.52
2013,2,23,62.17,14.69,46.1,176.36,10.89,81.62,1.96,12.25,87.79,0.19
2013,2,24,218.03,256.65,60.4,221.44,11.85,79.32,1.36,0.77,87.8,0.67
2013,2,25,233.2,320.81,46.98,239.0,13.27,71.72,1.48,0.0,87.83,0.71
2013,2,26,229.36,303.49,53.36,238.39,13.77,62.85,1.57,0.0,87.76,0.69
2013,2,27,211.35,221.36,72.79,223.09,13.72,65.75,1.95,0.49,87.72,0.64
2013,2,28,246.49,343.52,43.62,247.44,13.06,64.17,1.7,0.0,87.67,0.74
2013,3,1,259.07,395.48,37.6,262.01,14.69,49.21,1.58,0.0,87.53,0.77
2013,3,2,251.74,359.97,40.99,255.35,15.69,47.17,1.47,0.0,87.59,0.74
2013,3,3,252.33,348.7,44.2,252.51,15.95,50.85,1.46,0.0,87.62,0.74
2013,3,4,242.05,310.28,61.56,251.1,15.88,50.77,1.43,0.0,87.71,0.7
2013,3,5,252.71,337.5,48.57,253.47,15.97,53.25,1.49,0.0,87.78,0.73
2013,3,6,256.13,351.21,43.65,256.35,16.09,56.15,1.7,0.0,87.73,0.73
2013,3,7,251.61,319.65,54.06,254.37,16.44,54.61,1.5,0.0,87.69,0.72
2013,3,8,252.05,307.35,59.58,252.64,16.73,56.51,1.55,0.0,87.71,0.71
